"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
US48,"4/22/2020 8 p.m. EDT",51570,15677,38490,7563,2637,149971,60822,81248
US48,"4/22/2020 9 p.m. EDT",50187,9852,41535,7458,2775,152954,60818,81208
US48,"4/22/2020 10 p.m. EDT",48229,2072,40809,7045,2799,152543,62385,81177
US48,"4/22/2020 11 p.m. EDT",45888,1025,39264,6841,2803,147687,60416,81159
US48,"4/23/2020 12 a.m. EDT",40547,263,36597,7065,2757,142450,58363,80315
US48,"4/23/2020 1 a.m. EDT",42684,251,32298,6687,2509,130438,53941,81139
US48,"4/23/2020 2 a.m. EDT",36861,128,28265,6686,2423,127458,53010,82873
US48,"4/23/2020 3 a.m. EDT",35298,115,26467,6723,2427,121737,50142,82909
US48,"4/23/2020 4 a.m. EDT",34421,22,25316,6801,2609,120002,49336,82936
US48,"4/23/2020 5 a.m. EDT",33270,11,25520,6838,2723,120659,49179,82940
US48,"4/23/2020 6 a.m. EDT",32627,8,25897,6936,2788,123752,52005,83102
US48,"4/23/2020 7 a.m. EDT",32469,69,28422,7078,2732,127312,55828,83171
US48,"4/23/2020 8 a.m. EDT",31835,513,31875,7118,2797,132486,60850,83248
US48,"4/23/2020 9 a.m. EDT",30934,1896,33892,7293,3016,137822,62912,83266
US48,"4/23/2020 10 a.m. EDT",28685,7985,36430,7378,3162,141509,64993,83222
US48,"4/23/2020 11 a.m. EDT",26120,17028,36228,7607,3217,145178,66036,83195
US48,"4/23/2020 12 p.m. EDT",26832,21373,35755,7780,3221,147065,66467,83198
US48,"4/23/2020 1 p.m. EDT",27751,22619,35506,7933,3206,148929,67178,83169
US48,"4/23/2020 2 p.m. EDT",27631,22824,34067,8019,3265,152262,67800,83162
US48,"4/23/2020 3 p.m. EDT",27324,23261,33447,8148,3281,154196,68721,83145
US48,"4/23/2020 4 p.m. EDT",28849,22780,33564,8152,3127,156385,66856,83060
US48,"4/23/2020 5 p.m. EDT",30349,21907,34016,8067,3219,160175,67526,82968
US48,"4/23/2020 6 p.m. EDT",32254,20588,35532,8084,3119,163199,66735,82916
US48,"4/23/2020 7 p.m. EDT",33484,18971,36489,8067,3144,165022,66695,82757
US48,"4/23/2020 8 p.m. EDT",34852,16071,38191,7988,3001,163439,66237,82711
US48,"4/23/2020 9 p.m. EDT",34406,10879,39442,7838,2789,165185,65949,82578
US48,"4/23/2020 10 p.m. EDT",36451,2051,39690,7680,2663,162588,64754,82125
US48,"4/23/2020 11 p.m. EDT",38709,815,37015,6966,2706,153872,61585,82075
US48,"4/24/2020 12 a.m. EDT",43936,158,34897,6818,2737,141642,57086,82388
US48,"4/24/2020 1 a.m. EDT",40918,149,32297,6527,2665,131911,53015,82326
US48,"4/24/2020 2 a.m. EDT",39191,135,26203,6488,2346,126495,50764,82351
US48,"4/24/2020 3 a.m. EDT",37732,121,24564,6468,2253,120025,48528,82404
US48,"4/24/2020 4 a.m. EDT",36406,22,22064,6503,2259,116215,47914,82454
US48,"4/24/2020 5 a.m. EDT",34963,24,21464,6656,2331,116401,48119,82522
US48,"4/24/2020 6 a.m. EDT",34843,29,22024,6763,2352,118587,49125,82651
US48,"4/24/2020 7 a.m. EDT",35496,90,24107,7091,2547,124160,51195,82765
US48,"4/24/2020 8 a.m. EDT",36015,605,27998,7166,2525,128680,54429,82823
US48,"4/24/2020 9 a.m. EDT",36001,2178,32508,7425,2605,134428,56794,82856
US48,"4/24/2020 10 a.m. EDT",33690,8599,34378,7656,2675,137722,59749,82820
US48,"4/24/2020 11 a.m. EDT",31654,18539,33854,7564,2711,138783,60708,82842
US48,"4/24/2020 12 p.m. EDT",31284,23010,33381,7495,2935,142640,61103,82831
US48,"4/24/2020 1 p.m. EDT",32394,24492,32658,7491,3002,145808,61389,82811
US48,"4/24/2020 2 p.m. EDT",33920,25146,32304,7572,3060,147770,62095,82805
US48,"4/24/2020 3 p.m. EDT",36304,25013,32811,7621,3012,148283,62441,82824
US48,"4/24/2020 4 p.m. EDT",39154,25035,32203,7652,3081,150200,61629,82887
US48,"4/24/2020 5 p.m. EDT",41120,24200,32796,7661,3097,153027,62245,82894
US48,"4/24/2020 6 p.m. EDT",42563,21972,33928,7692,3213,156124,61228,82956
US48,"4/24/2020 7 p.m. EDT",42507,19635,34719,7731,3290,158816,62092,82957
US48,"4/24/2020 8 p.m. EDT",43191,17117,36048,7434,3177,159462,61610,82955
US48,"4/24/2020 9 p.m. EDT",43372,10462,36526,7475,3119,159772,60730,83020
US48,"4/24/2020 10 p.m. EDT",41234,2149,37005,7099,3263,159080,62451,82991
US48,"4/24/2020 11 p.m. EDT",42228,908,34619,6350,3097,150568,60363,82807
US48,"4/25/2020 12 a.m. EDT",41284,178,31983,6303,2704,138920,56560,82736
US48,"4/25/2020 1 a.m. EDT",39568,161,32003,5986,2578,128987,55087,82839
US48,"4/25/2020 2 a.m. EDT",37478,139,28913,6223,2541,120278,51671,82600
US48,"4/25/2020 3 a.m. EDT",35581,104,26445,6278,2345,114575,48858,82455
US48,"4/25/2020 4 a.m. EDT",34140,9,25019,6229,2302,111281,48611,82510
US48,"4/25/2020 5 a.m. EDT",34235,10,24064,6319,2298,109203,47079,82585
US48,"4/25/2020 6 a.m. EDT",33927,16,24085,6513,2302,109272,47244,82738
US48,"4/25/2020 7 a.m. EDT",33325,129,24209,6510,2349,110978,47495,82979
US48,"4/25/2020 8 a.m. EDT",31665,811,26316,6500,2318,113479,48687,82925
US48,"4/25/2020 9 a.m. EDT",28842,2494,28451,6736,2326,116619,49428,82927
US48,"4/25/2020 10 a.m. EDT",23395,8855,30850,6757,2322,121970,50218,82952
US48,"4/25/2020 11 a.m. EDT",21458,18908,31105,6837,2600,125017,50854,82968
US48,"4/25/2020 12 p.m. EDT",21739,22828,32213,7023,2764,127411,52175,83119
US48,"4/25/2020 1 p.m. EDT",22763,24458,32149,7151,2872,129472,54154,83252
US48,"4/25/2020 2 p.m. EDT",23547,24989,32348,7261,2954,132615,55244,83294
US48,"4/25/2020 3 p.m. EDT",25179,25108,31126,7259,2967,137149,55575,83286
US48,"4/25/2020 4 p.m. EDT",27796,25099,30930,7304,2943,141703,55152,83334
US48,"4/25/2020 5 p.m. EDT",29169,24662,31280,7259,2874,146327,56082,83362
US48,"4/25/2020 6 p.m. EDT",30671,23179,32325,7382,2968,151455,57162,83452
US48,"4/25/2020 7 p.m. EDT",30541,20075,34305,7435,2992,154488,57840,83457
US48,"4/25/2020 8 p.m. EDT",29525,16714,35962,7434,3195,158255,61459,83461
US48,"4/25/2020 9 p.m. EDT",28332,9188,36856,7544,3233,160379,63351,83572
US48,"4/25/2020 10 p.m. EDT",27823,1676,36886,7301,3265,158523,63083,83531
US48,"4/25/2020 11 p.m. EDT",29375,153,35263,6958,3170,149510,61494,83332
US48,"4/26/2020 12 a.m. EDT",28932,127,32599,6489,2946,143019,60106,83284
US48,"4/26/2020 1 a.m. EDT",34730,130,29724,6704,2924,126869,53361,83120
US48,"4/26/2020 2 a.m. EDT",34625,119,26905,6632,2825,118644,50477,83166
US48,"4/26/2020 3 a.m. EDT",36026,107,24291,6616,2701,112258,47701,83286
US48,"4/26/2020 4 a.m. EDT",37203,8,24451,6631,2413,106187,44819,83185
US48,"4/26/2020 5 a.m. EDT",38020,7,23799,6741,2334,102456,43236,83248
US48,"4/26/2020 6 a.m. EDT",37713,4,23989,6861,2403,103512,42771,83389
US48,"4/26/2020 7 a.m. EDT",37996,65,24885,6875,2516,103031,43244,83493
US48,"4/26/2020 8 a.m. EDT",37731,873,26462,6819,2430,104778,44008,83559
US48,"4/26/2020 9 a.m. EDT",36092,2672,28341,7067,2450,108744,45066,83547
US48,"4/26/2020 10 a.m. EDT",32916,8775,30659,7255,2756,112514,47707,83546
US48,"4/26/2020 11 a.m. EDT",32481,17100,31772,7317,3071,115157,50233,83593
US48,"4/26/2020 12 p.m. EDT",35936,20482,31647,7387,3166,117384,51382,83691
US48,"4/26/2020 1 p.m. EDT",38685,22458,32010,7471,3128,120563,51619,83761
US48,"4/26/2020 2 p.m. EDT",41543,23589,32386,7566,3117,121818,51269,83771
US48,"4/26/2020 3 p.m. EDT",43282,24388,32674,7570,3022,124166,51444,83783
US48,"4/26/2020 4 p.m. EDT",45950,24026,33379,7390,2966,125889,51818,83871
US48,"4/26/2020 5 p.m. EDT",48088,24054,34462,7453,3062,129404,53005,83915
US48,"4/26/2020 6 p.m. EDT",50982,21903,35280,7697,3228,134450,53753,83983
US48,"4/26/2020 7 p.m. EDT",51597,18363,38002,7979,3221,137493,54830,83961
US48,"4/26/2020 8 p.m. EDT",49601,13381,40659,7971,3396,140673,57241,83691
US48,"4/26/2020 9 p.m. EDT",49662,7848,41372,7895,3368,139998,59302,83364
US48,"4/26/2020 10 p.m. EDT",52472,1868,40775,7680,3210,138182,59365,83396
US48,"4/26/2020 11 p.m. EDT",55258,894,38874,7321,2559,128918,55801,83395
US48,"4/27/2020 12 a.m. EDT",59706,146,36083,6828,2235,114391,48258,84175
