"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)","Total Generation (MWh)"
US48,"4/23/2020 4 p.m. EDT",28849,22780,33564,8152,3127,156385,66856,83060,402248
US48,"4/23/2020 5 p.m. EDT",30349,21907,34016,8067,3219,160175,67526,82968,407663
US48,"4/23/2020 6 p.m. EDT",32254,20588,35532,8084,3119,163199,66735,82916,411845
US48,"4/23/2020 7 p.m. EDT",33484,18971,36484,8067,3144,165022,66695,82757,414175
US48,"4/23/2020 8 p.m. EDT",34852,16071,38073,7988,3001,163439,66237,82711,411877
US48,"4/23/2020 9 p.m. EDT",34406,10879,39265,7838,2789,165185,65949,82578,408416
US48,"4/23/2020 10 p.m. EDT",36451,2051,39509,7680,2663,162588,64754,82125,397325
US48,"4/23/2020 11 p.m. EDT",38709,815,36835,6966,2706,153872,61585,82075,382689
US48,"4/24/2020 12 a.m. EDT",43936,158,34716,6818,2737,141642,57086,82388,369188
US48,"4/24/2020 1 a.m. EDT",40918,149,32117,6527,2665,131911,53015,82326,349336
US48,"4/24/2020 2 a.m. EDT",39191,135,26024,6488,2346,126495,50764,82351,337038
US48,"4/24/2020 3 a.m. EDT",37732,121,24446,6468,2253,120025,48528,82404,325276
US48,"4/24/2020 4 a.m. EDT",36406,22,22059,6503,2259,116215,47914,82454,317063
US48,"4/24/2020 5 a.m. EDT",34963,24,21464,6656,2331,116401,48119,82522,315800
US48,"4/24/2020 6 a.m. EDT",34843,29,22024,6763,2352,118587,49125,82651,319703
US48,"4/24/2020 7 a.m. EDT",35496,90,24107,7091,2547,124160,51195,82765,330816
US48,"4/24/2020 8 a.m. EDT",36015,605,27998,7166,2525,128680,54429,82823,343880
US48,"4/24/2020 9 a.m. EDT",36001,2178,32508,7425,2605,134428,56794,82856,358033
US48,"4/24/2020 10 a.m. EDT",33690,8599,34378,7656,2675,137722,59749,82820,370312
