"Region Code","Timestamp (Hour Ending)","Total Generation (MWh)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
US48,"2/23/2019 1 p.m. EST",448451,39979,17961,35472,8505,3861,132941,109559,98019
US48,"2/23/2019 2 p.m. EST",443305,41569,17810,33853,8288,3670,131196,106746,98071
US48,"2/23/2019 3 p.m. EST",439251,44347,17551,32401,8283,3408,130629,102544,98113
US48,"2/23/2019 4 p.m. EST",435539,47553,17237,31552,8264,3511,129995,97378,98140
US48,"2/23/2019 5 p.m. EST",435487,49582,15237,32791,8499,3517,131329,95708,96814
US48,"2/23/2019 6 p.m. EST",441269,51749,11865,34811,8377,3582,135425,96588,96749
US48,"2/23/2019 7 p.m. EST",445720,52242,8494,37063,8305,3640,138482,98672,96770
US48,"2/23/2019 8 p.m. EST",448465,50019,2273,38619,8174,3736,143920,102855,96715
US48,"2/23/2019 9 p.m. EST",448580,49302,360,39241,8112,3794,145202,103675,96744
US48,"2/23/2019 10 p.m. EST",440110,48717,293,39171,7912,3628,140275,101288,96725
US48,"2/23/2019 11 p.m. EST",427252,48235,302,37861,7858,3249,132833,98571,96377
US48,"2/24/2019 12 a.m. EST",413567,46749,298,34098,7950,3018,128305,94626,96356
US48,"2/24/2019 1 a.m. EST",399459,45951,296,31830,7522,3011,121821,90896,96007
US48,"2/24/2019 2 a.m. EST",387481,44406,147,29576,7409,3026,117361,87309,96044
US48,"2/24/2019 3 a.m. EST",381740,43520,130,28146,7374,2867,116225,85297,96009
US48,"2/24/2019 4 a.m. EST",376308,43314,117,25633,7407,2832,114476,84605,96012
US48,"2/24/2019 5 a.m. EST",375353,42266,45,24676,7450,2799,115406,84610,96186
US48,"2/24/2019 6 a.m. EST",378846,41787,22,24387,7448,2760,117383,86660,96433
US48,"2/24/2019 7 a.m. EST",386873,40494,46,25658,7418,2856,121316,90547,96448
US48,"2/24/2019 8 a.m. EST",400877,38750,278,28772,7515,2967,127864,95943,96586
US48,"2/24/2019 9 a.m. EST",418100,37690,1060,31373,7686,3068,135642,102877,96544
US48,"2/24/2019 10 a.m. EST",429896,34900,4454,33819,7733,3167,140123,107114,96543
US48,"2/24/2019 11 a.m. EST",433698,34218,11954,33557,7751,3231,137005,107679,96520
US48,"2/24/2019 12 p.m. EST",435284,34631,16861,32370,7740,3142,134564,107746,96620
US48,"2/24/2019 1 p.m. EST",431237,34662,18723,30835,7790,3157,132550,105281,96684
US48,"2/24/2019 2 p.m. EST",426022,33945,19366,30006,7782,3071,129880,103531,96716
US48,"2/24/2019 3 p.m. EST",417626,34724,19468,29446,7660,3040,125721,99185,96724
US48,"2/24/2019 4 p.m. EST",416014,37389,18776,28981,7699,3035,125618,96290,96689
US48,"2/24/2019 5 p.m. EST",417999,39288,17027,29598,7798,2981,127218,95824,96707
US48,"2/24/2019 6 p.m. EST",428178,40619,13683,32199,7977,3210,132348,99713,96775
US48,"2/24/2019 7 p.m. EST",441664,42450,10318,35387,7077,4394,137616,105933,96740
US48,"2/24/2019 8 p.m. EST",454459,43476,2953,38032,8119,3781,146128,113401,96747
US48,"2/24/2019 9 p.m. EST",460276,46963,366,39378,8100,4010,147128,115718,96777
US48,"2/24/2019 10 p.m. EST",453836,50024,247,39768,7939,3933,141694,111706,96805
US48,"2/24/2019 11 p.m. EST",440819,50462,248,38005,7815,3788,134407,107605,96840
US48,"2/25/2019 12 a.m. EST",424076,50029,117,34200,7609,3685,127396,102486,96802
US48,"2/25/2019 1 a.m. EST",415017,50266,117,30687,7511,3345,124011,101809,95531
US48,"2/25/2019 2 a.m. EST",405336,49769,119,27155,7343,3297,120971,99719,95191
US48,"2/25/2019 3 a.m. EST",402651,48570,115,25158,7290,3451,121326,99878,95171
