"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)","Total Generation (MWh)"
US48,"3/15/2019 3 a.m. EDT",57833,209,27418,6576,2446,101149,70455,90080,357310
US48,"3/15/2019 4 a.m. EDT",57049,115,26919,6520,2419,99483,69178,89845,352708
US48,"3/15/2019 5 a.m. EDT",55934,144,27039,6507,2442,102273,69638,89824,355039
US48,"3/15/2019 6 a.m. EDT",55445,158,28425,6691,2724,110561,74257,89733,369407
US48,"3/15/2019 7 a.m. EDT",55099,170,32127,7024,2973,123028,81870,89712,393520
US48,"3/15/2019 8 a.m. EDT",53123,315,36013,7356,3222,134257,89405,89776,414685
US48,"3/15/2019 9 a.m. EDT",51308,1139,39265,7453,3255,140357,95983,89770,429849
US48,"3/15/2019 10 a.m. EDT",48890,3113,43907,7406,3210,144106,98737,89765,440434
US48,"3/15/2019 11 a.m. EDT",46396,10036,44233,7318,3192,143323,100898,89570,446093
US48,"3/15/2019 12 p.m. EDT",47219,18086,40846,7259,3174,137056,100316,89467,444356
US48,"3/15/2019 1 p.m. EDT",44178,21283,37721,7247,3101,135213,98043,89456,437368
US48,"3/15/2019 2 p.m. EDT",42156,21548,35934,7117,3072,136141,98241,88508,433871
US48,"3/15/2019 3 p.m. EDT",40502,20560,34952,7030,3099,135334,97223,88522,428377
US48,"3/15/2019 4 p.m. EDT",40066,19683,33830,7212,3079,134248,96838,88596,424561
US48,"3/15/2019 5 p.m. EDT",38997,19058,33494,7275,3068,135252,95533,88846,422533
US48,"3/15/2019 6 p.m. EDT",37279,17880,33956,7328,3121,135843,95349,89037,420740
US48,"3/15/2019 7 p.m. EDT",34659,15599,35098,7414,3065,137084,96005,89144,418800
US48,"3/15/2019 8 p.m. EDT",31245,11584,36881,7589,3112,139348,100027,89305,419949
US48,"3/15/2019 9 p.m. EDT",26948,5248,40128,7767,3314,145463,103676,89486,423069
US48,"3/15/2019 10 p.m. EDT",25609,524,41897,7785,3407,148614,105454,89690,424366
US48,"3/15/2019 11 p.m. EDT",24730,214,40523,7657,3464,143326,103324,89845,414568
US48,"3/16/2019 12 a.m. EDT",25942,220,38697,6760,3188,130747,97401,89794,394165
US48,"3/16/2019 1 a.m. EDT",26176,201,35658,7130,3084,125086,95203,89998,383899
US48,"3/16/2019 2 a.m. EDT",26889,181,32747,6868,3192,119187,91274,90016,371467
US48,"3/16/2019 3 a.m. EDT",27477,173,30904,6611,3271,115893,88392,90043,363575
US48,"3/16/2019 4 a.m. EDT",26706,172,29488,6674,3303,114750,88222,90039,360025
US48,"3/16/2019 5 a.m. EDT",25929,178,28942,6693,3318,115149,88567,90151,359616
US48,"3/16/2019 6 a.m. EDT",25382,117,29870,6640,3322,117119,91695,90299,365092
US48,"3/16/2019 7 a.m. EDT",25074,75,32441,6878,3501,123435,95542,90319,378055
US48,"3/16/2019 8 a.m. EDT",24604,432,35849,6901,3879,130721,101098,90388,394782
US48,"3/16/2019 9 a.m. EDT",23639,1625,38547,7082,4548,137716,104570,90386,409180
US48,"3/16/2019 10 a.m. EDT",23190,3009,41644,7096,4643,141955,106510,90388,419563
US48,"3/16/2019 11 a.m. EDT",19797,9641,41629,7106,4507,142460,106110,90388,422626
US48,"3/16/2019 12 p.m. EDT",17748,17866,39860,7050,4349,136162,104568,90388,418891
US48,"3/16/2019 1 p.m. EDT",18038,20858,36066,6810,4039,132490,100163,90298,409689
US48,"3/16/2019 2 p.m. EDT",18360,21840,33648,6694,3753,128135,97037,90245,400652
US48,"3/16/2019 3 p.m. EDT",18103,21609,31700,6745,3700,125055,93604,90413,391804
US48,"3/16/2019 4 p.m. EDT",17016,20718,30764,6916,3631,125810,90741,90450,386688
US48,"3/16/2019 5 p.m. EDT",16297,19220,31018,7084,3771,126290,89080,90599,384055
US48,"3/16/2019 6 p.m. EDT",15467,17391,32508,7051,3852,128345,89658,90665,385596
